regime,cumulative_return,sharpe_ratio,sortino_ratio,max_drawdown,cagr,volatility,win_rate,turnover,observations
trend,0.06791177683223415,16.175223979017325,57.26291519825581,-0.003018542475204944,1.2884727019049662,0.05134365715245288,0.85,0.425,20.0
stress,-0.002776880389170455,-4.88306969866104,-6.460945612501282,-0.00488822761410479,-0.13077168128863192,0.028625932966371982,0.4,0.4,5.0
range,-0.025134363991025088,-22.732502022910413,-22.732502022910413,-0.02440266599051799,-0.3894820190262841,0.021675893348929644,0.0,0.4230769230769231,13.0
