model,mae,rmse,directional_accuracy,cv_mae,cv_rmse,cv_directional_accuracy,cumulative_return,sharpe_ratio,sortino_ratio,max_drawdown,cagr,volatility,win_rate,turnover
random_forest,0.003907000388456864,0.0041541078470010125,0.75,0.0030341821864294538,0.003339582881562844,0.5833333333333334,0.012765941535528569,5.695192739734825,10.035949415311569,-0.007210526315789445,0.4912012902966221,0.0706001839194482,0.625,0.875
lstm,0.03787012203323553,0.04759673416796637,0.625,0.04210272247012206,0.049754498330032905,0.75,-0.0019485054964137882,-0.7327008308059398,-1.2708822197203542,-0.007210526315789445,-0.05958856111370736,0.08001674583299725,0.5,1.125
transformer,0.15984916207002908,0.20361698274591894,0.75,0.11241051493100329,0.15039356312054258,0.3333333333333333,-0.0020939434949890368,-0.8803312407699097,-1.3485468264309088,-0.007210526315789445,-0.06389569718855648,0.07238762012342001,0.5,1.625
xgboost,0.004583494491509625,0.005276974228410288,0.375,0.003112129169240462,0.003766585255663903,0.6666666666666666,-0.022999998794650978,-11.262151971739291,-13.603572596346556,-0.021532297240511755,-0.519516172952053,0.06482365848859678,0.125,1.375
